study,type,carriage_samples,surveillance_population,time_interval,carriage,disease,model_name,rho,rho_lower,rho_upper,delta,delta_lower,delta_upper,nu,nu_lower,nu_upper,phi,phi_lower,phi_upper,carriage_prediction,carriage_prediction_lower,carriage_prediction_upper,disease_prediction,disease_prediction_lower,disease_prediction_upper,carriage_rmse,disease_rmse,classification
Alabama.pre.PCV,1,827,19316,3.4,5,4,adjusted_type_specific_negbin,0.00546763867835361,0.0022296905142799,0.0114067123632732,1.32902312226788,0.639728473315217,2.7866382644382,0.017306487332837,0.00977434151305262,0.0313465265599201,3.54240797176599,2.49560124043154,5.15073328448319,4.52173718699844,1.84395405530948,9.43335112442689,8.12029131289895,2.98913828338317,22.146851879084,0.478262813001563,4.12029131289895,PCV10
Alabama.pre.PCV,13,827,19316,3.4,6,0,adjusted_type_specific_negbin,0.00752105058861741,0.00314316072976064,0.0147535043335538,1.32902312226788,0.639728473315217,2.7866382644382,0.000641136431718939,0.000181165818687303,0.00210187050439682,3.54240797176599,2.49560124043154,5.15073328448319,6.2199088367866,2.59939392351205,12.201148083849,0.414220034160549,0.0902124315984192,1.62343474528297,0.219908836786601,0.414220034160549,No PCV
Alabama.pre.PCV,14,827,19316,3.4,20,18,adjusted_type_specific_negbin,0.0274602879659851,0.0181966730155034,0.0396516791035819,1.32902312226788,0.639728473315217,2.7866382644382,0.00425720451814257,0.00258389265675727,0.00699992895958463,3.54240797176599,2.49560124043154,5.15073328448319,22.7096581478697,15.0486485838213,32.7919386186622,10.0445036506143,5.13355306881399,20.590847404438,2.70965814786968,7.95549634938573,PCV7
Alabama.pre.PCV,20,827,19316,3.4,3,0,adjusted_type_specific_negbin,0.00407270898462721,0.00117138717793945,0.00991799632943284,1.32902312226788,0.639728473315217,2.7866382644382,0.000764947814335124,0.000205921000405982,0.00259402357512921,3.54240797176599,2.49560124043154,5.15073328448319,3.3681303302867,0.968737196155926,8.20218296444096,0.266081256245148,0.0453396215235235,1.23213987376812,0.368130330286699,0.266081256245148,PPV23
Alabama.pre.PCV,3,827,19316,3.4,35,0,adjusted_type_specific_negbin,0.0403859152039852,0.0281908722851858,0.0554781509907888,1.32902312226788,0.639728473315217,2.7866382644382,0.00204128172923258,0.00122747712323621,0.0034228107995988,3.54240797176599,2.49560124043154,5.15073328448319,33.3991518736958,23.3138513798487,45.8804308693824,7.14182033818568,3.16601906397296,16.2943688525172,1.60084812630423,7.14182033818568,PCV13
Alabama.pre.PCV,31,827,19316,3.4,0,1,adjusted_type_specific_negbin,0.00188504818351722,0.000271350360204483,0.00631793586569089,1.32902312226788,0.639728473315217,2.7866382644382,0.000487508830110507,0.000169293255028087,0.00127246203929191,3.54240797176599,2.49560124043154,5.15073328448319,1.55893484776874,0.224406747889107,5.22493296092637,0.0772782879332689,0.00880749899395876,0.405232560253619,1.55893484776874,0.922721712066731,No PCV
Alabama.pre.PCV,37,827,19316,3.4,13,0,adjusted_type_specific_negbin,0.0163280657081594,0.00908738922642831,0.0264001217181338,1.32902312226788,0.639728473315217,2.7866382644382,8.73857936299313e-05,4.08275642783979e-06,0.000582177503837751,3.54240797176599,2.49560124043154,5.15073328448319,13.5033103406478,7.51527089025621,21.8329006608966,0.121140587267582,0.00549456383039424,0.880559377899026,0.503310340647817,0.121140587267582,No PCV
Alabama.pre.PCV,38,827,19316,3.4,3,0,adjusted_type_specific_negbin,0.00404710201019653,0.0011958052461254,0.00985996271386355,1.32902312226788,0.639728473315217,2.7866382644382,0.000884785485051211,0.000378174145678876,0.00198873940303258,3.54240797176599,2.49560124043154,5.15073328448319,3.34695336243253,0.988930938545709,8.15418916436516,0.305267429912078,0.066042986680334,1.10899751534913,0.346953362432528,0.305267429912078,No PCV
Alabama.pre.PCV,4,827,19316,3.4,14,8,adjusted_type_specific_negbin,0.0205045098482851,0.0125301658442399,0.0313336038953097,1.32902312226788,0.639728473315217,2.7866382644382,0.00192779838425174,0.000997131419153093,0.0037122156946575,3.54240797176599,2.49560124043154,5.15073328448319,16.9572296445318,10.3624471531864,25.9128904214211,3.4200091263624,1.54034909831241,7.48876017377047,2.95722964453175,4.5799908736376,PCV7
Alabama.pre.PCV,5,827,19316,3.4,0,1,adjusted_type_specific_negbin,0.00111853386257082,0.000150157125535891,0.00418213251230768,1.32902312226788,0.639728473315217,2.7866382644382,0.00734989518727071,0.00290832765960712,0.0190321029022971,3.54240797176599,2.49560124043154,5.15073328448319,0.925027504346072,0.124179942818182,3.45862358767845,0.708902074102332,0.0916621766717918,3.07366514578563,0.925027504346072,0.291097925897668,PCV10
Alabama.pre.PCV,8,827,19316,3.4,4,0,adjusted_type_specific_negbin,0.0048094947098376,0.00165320713211589,0.0108391917581863,1.32902312226788,0.639728473315217,2.7866382644382,0.00192778518247364,0.000884503659754045,0.00411288030360442,3.54240797176599,2.49560124043154,5.15073328448319,3.97745212503569,1.36720229825984,8.96401158402008,0.792078798224813,0.212142782389608,2.61118849523177,0.0225478749643075,0.792078798224813,PCV20
Barcelona.post.PCV7,1,209,228000,4,2,39,adjusted_type_specific_negbin,0.015148709441001,0.00638320995784385,0.032498756714754,0.153863816016636,0.0938708758283483,0.254083449431664,0.017306487332837,0.00977434151305262,0.0313465265599201,3.54240797176599,2.49560124043154,5.15073328448319,3.16608027316921,1.33409088118937,6.79224015338358,36.3535806193399,16.5874238849298,83.6594469891157,1.16608027316921,2.64641938066006,PCV10
