study,type,carriage,disease,carriage_samples,surveillance_population,time_interval,strain
Finland.pre.PCV,19F,8,1,329,120238,5,GPSC175
Finland.pre.PCV,6B,16,32,329,120238,5,GPSC24
Finland.pre.PCV,4,4,7,329,120238,5,GPSC27
Finland.pre.PCV,11A,12,1,329,120238,5,GPSC3
Finland.pre.PCV,18C,1,7,329,120238,5,GPSC3
Finland.pre.PCV,38,1,6,329,120238,5,GPSC38
Finland.pre.PCV,14,8,20,329,120238,5,GPSC39
Finland.pre.PCV,19A,4,2,329,120238,5,GPSC4
Finland.pre.PCV,19F,1,1,329,120238,5,GPSC4
Finland.pre.PCV,35F,0,1,329,120238,5,GPSC4
Finland.pre.PCV,14,1,8,329,120238,5,GPSC6
Finland.pre.PCV,19F,0,2,329,120238,5,GPSC6
Finland.pre.PCV,9V,5,7,329,120238,5,GPSC6
Finland.pre.PCV,23F,16,10,329,120238,5,GPSC7
Finland.pre.PCV,19F,3,4,329,120238,5,GPSC309
Finland.pre.PCV,6A,6,0,329,120238,5,GPSC481
Finland.pre.PCV,19A,2,12,329,120238,5,GPSC482
Finland.pre.PCV,19F,2,4,329,120238,5,GPSC483
Finland.pre.PCV,6A,4,2,329,120238,5,GPSC488
Oxford.pre.PCV,3,17,1,639,37467,6,GPSC12
Oxford.pre.PCV,14,11,34,639,37467,6,GPSC18
Oxford.pre.PCV,14,6,15,639,37467,6,GPSC39
Oxford.pre.PCV,15BC,7,0,639,37467,6,GPSC4
Oxford.pre.PCV,19A,1,3,639,37467,6,GPSC4
Oxford.pre.PCV,18C,7,10,639,37467,6,GPSC50
Oxford.pre.PCV,19F,13,7,639,37467,6,GPSC6
Oxford.pre.PCV,9V,6,6,639,37467,6,GPSC6
Oxford.pre.PCV,6A,10,2,639,37467,6,GPSC64
Oxford.pre.PCV,23F,35,6,639,37467,6,GPSC7
Stockholm.pre.PCV,19F,10,0,1330,397289,8,GPSC1
Stockholm.pre.PCV,11A,10,3,1330,397289,8,GPSC3
Stockholm.pre.PCV,23F,5,0,1330,397289,8,GPSC7
Stockholm.pre.PCV,19F,8,0,1330,397289,8,GPSC9
Stockholm.pre.PCV,3,10,2,1330,397289,8,GPSC12
Stockholm.pre.PCV,6A,5,0,1330,397289,8,GPSC13
Stockholm.pre.PCV,7F,6,12,1330,397289,8,GPSC15
Stockholm.pre.PCV,14,0,7,1330,397289,8,GPSC18
Stockholm.pre.PCV,6B,25,9,1330,397289,8,GPSC24
Stockholm.pre.PCV,1,1,13,1330,397289,8,GPSC31
Stockholm.pre.PCV,38,6,0,1330,397289,8,GPSC38
Stockholm.pre.PCV,14,18,10,1330,397289,8,GPSC39
Stockholm.pre.PCV,6A,20,2,1330,397289,8,GPSC64
Stockholm.pre.PCV,6A,18,4,1330,397289,8,GPSC76
Stockholm.pre.PCV,19F,6,1,1330,397289,8,GPSC175
Stockholm.pre.PCV,6B,5,0,1330,397289,8,GPSC185
Stockholm.pre.PCV,19F,11,0,1330,397289,8,GPSC309
Stockholm.pre.PCV,16F,14,2,1330,397289,8,GPSC414
England.pre.PCV,14,14,20,249,111482,2,GPSC39
England.pre.PCV,6B,41,19,249,111482,2,GPSC24
England.pre.PCV,19F,6,2,249,111482,2,GPSC316
England.pre.PCV,4,1,7,249,111482,2,GPSC27
England.pre.PCV,9V,6,10,249,111482,2,GPSC6
England.pre.PCV,23F,34,11,249,111482,2,GPSC7
England.pre.PCV,18C,8,18,249,111482,2,GPSC50
England.pre.PCV,6A,15,4,249,111482,2,GPSC64
England.pre.PCV,11A,9,1,249,111482,2,GPSC3
England.pre.PCV,6B,2,5,249,111482,2,GPSC23
England.pre.PCV,14,16,27,249,111482,2,GPSC18
England.pre.PCV,19A,6,4,249,111482,2,GPSC4
England.pre.PCV,15BC,10,4,249,111482,2,GPSC4
England.pre.PCV,19F,11,8,249,111482,2,GPSC6
England.pre.PCV,22F,4,5,249,111482,2,GPSC19
England.pre.PCV,23A,6,0,249,111482,2,GPSC7
England.pre.PCV,6C,6,0,249,111482,2,GPSC29
England.pre.PCV,7F,2,5,249,111482,2,GPSC15
England.pre.PCV,1,0,5,249,111482,2,GPSC31
England.post.PCV7,15BC,7,6,88,117141,2,GPSC4
England.post.PCV7,19A,7,16,88,117141,2,GPSC4
England.post.PCV7,11A,10,3,88,117141,2,GPSC3
England.post.PCV7,3,4,7,88,117141,2,GPSC12
England.post.PCV7,6B_pv,2,5,88,117141,2,GPSC24
England.post.PCV7,33F,5,11,88,117141,2,GPSC3
England.post.PCV7,23B,5,2,88,117141,2,GPSC7
England.post.PCV7,22F,1,7,88,117141,2,GPSC19
England.post.PCV7,7F,3,29,88,117141,2,GPSC15
England.post.PCV7,22F,0,5,88,117141,2,GPSC61
England.post.PCV7,1,0,31,88,117141,2,GPSC31
England.post.PCV7,8,0,5,88,117141,2,GPSC3
England.post.PCV13,23A,19,4,318,127141,7,GPSC7
England.post.PCV13,33F,8,37,318,127141,7,GPSC3
England.post.PCV13,15BC,18,14,318,127141,7,GPSC11
England.post.PCV13,NT,15,1,318,127141,7,GPSC81
England.post.PCV13,11A,34,8,318,127141,7,GPSC3
England.post.PCV13,23B,14,8,318,127141,7,GPSC7
England.post.PCV13,16F,18,3,318,127141,7,GPSC46
England.post.PCV13,21,15,1,318,127141,7,GPSC11
England.post.PCV13,9N,5,6,318,127141,7,GPSC16
England.post.PCV13,35B,4,5,318,127141,7,GPSC72
England.post.PCV13,10A,9,11,318,127141,7,GPSC36
England.post.PCV13,17F,9,1,318,127141,7,GPSC49
England.post.PCV13,15BC,3,6,318,127141,7,GPSC6
England.post.PCV13,22F,11,17,318,127141,7,GPSC19
England.post.PCV13,31,7,1,318,127141,7,GPSC57
England.post.PCV13,6C_pv,4,5,318,127141,7,GPSC29
England.post.PCV13,23B,12,12,318,127141,7,GPSC5
England.post.PCV13,24,9,15,318,127141,7,GPSC6
England.post.PCV13,10A,6,15,318,127141,7,GPSC35
England.post.PCV13,35B,7,0,318,127141,7,GPSC75
England.post.PCV13,3_pv,5,21,318,127141,7,GPSC12
England.post.PCV13,35F,14,8,318,127141,7,GPSC36
England.post.PCV13,38,2,5,318,127141,7,GPSC38
England.post.PCV13,15BC,10,11,318,127141,7,GPSC4
England.post.PCV13,19A_pv,2,6,318,127141,7,GPSC4
England.post.PCV13,7C,5,0,318,127141,7,GPSC44
England.post.PCV13,24,6,1,318,127141,7,GPSC44
England.post.PCV13,12F,1,29,318,127141,7,GPSC55
England.post.PCV13,8,2,24,318,127141,7,GPSC3
England.post.PCV13,7F_pv,1,21,318,127141,7,GPSC15
England.post.PCV13,1_pv,0,20,318,127141,7,GPSC31
England.post.PCV13,12F,0,6,318,127141,7,GPSC32
England.post.PCV13,27,0,7,318,127141,7,GPSC226
