"","agegrp","DS","Serogroup","Serotype","carriage","disease","n.swab","N","time.int","carr.prev","carr.prev.low","carr.prev.high","lambda","lambda.low","lambda.high","invasiveness","invasiveness.low","invasiveness.high","vaccinationera"
"26","adults","Navajo.post.PCV7","VT13","19A",208,38,6541,201553,6,0.0317994348696419,0.0278193017439592,0.0363368275327028,38,27.73,52.16,0.000900153449791731,0.000600102299861154,0.00130022164969917,"post.PCV7"
"27","adults","Navajo.post.PCV7","VT7","19F",35,8,6541,201553,6,0.00535085662959825,0.00385707252580192,0.00743284355227185,8,4.12,15.76,0.00110018754974545,0.000600102299861154,0.00270046034937519,"post.PCV7"
"28","adults","Navajo.post.PCV7","NVT","20",1,0,6541,201553,6,0.000152877003835281,3.69878163936562e-05,0.000851346689196359,0,0,3.68,0.000300051149930577,0,0.16652838821147,"post.PCV7"
"29","adults","Navajo.post.PCV7","NVT","21",88,2,6541,201553,6,0.0134535470219852,0.0109393069277324,0.0165468022535418,2,0.62,7.22,0.000100017049976859,0,0.000500085249884295,"post.PCV7"
"30","adults","Navajo.post.PCV7","NVT","22A",1,0,6541,201553,6,0.000152877003835281,3.69878163936562e-05,0.000851346689196359,0,0,3.68,0.000300051149930577,0,0.16652838821147,"post.PCV7"
"31","adults","Navajo.post.PCV7","NVT","22F",134,27,6541,201553,6,0.0204862108650668,0.0173295578856002,0.024213299320547,27,18.61,39.28,0.00110018754974545,0.000800136399814872,0.0017002898496066,"post.PCV7"
"32","adults","Navajo.post.PCV7","NVT","23A",89,3,6541,201553,6,0.0136064730845929,0.0110766343209495,0.0167150182865591,3,1.09,8.77,0.000300051149930577,0,0.000500085249884295,"post.PCV7"
"33","adults","Navajo.post.PCV7","NVT","23B",137,1,6541,201553,6,0.0209448455211727,0.017750676449422,0.0247089811440599,1,0.24,5.57,0.000100017049976859,0,0.000300051149930577,"post.PCV7"
"34","adults","Navajo.post.PCV7","NVT","27",1,0,6541,201553,6,0.000152877003835281,3.69878163936562e-05,0.000851346689196359,0,0,3.68,0.000300051149930577,0,0.16652838821147,"post.PCV7"
"35","adults","Navajo.post.PCV7","VT13","3",73,39,6541,201553,6,0.0111603682131305,0.00889207882780255,0.0140101190403905,39,28.58,53.31,0.00310052854928263,0.00200034099953718,0.00430073314900494,"post.PCV7"
"36","adults","Navajo.post.PCV7","NVT","31",50,5,6541,201553,6,0.00764413481181498,0.00580981420817992,0.0100639557293376,5,2.2,11.67,0.000900153449791731,0.000200034099953718,0.00130022164969917,"post.PCV7"
"37","adults","Navajo.post.PCV7","NVT","33A",1,0,6541,201553,6,0.000152877003835281,3.69878163936562e-05,0.000851346689196359,0,0,3.68,0.000300051149930577,0,0.16652838821147,"post.PCV7"
"38","adults","Navajo.post.PCV7","NVT","33F",60,11,6541,201553,6,0.00917287398709479,0.00713964692500888,0.0117900119079837,11,6.2,19.68,0.00110018754974545,0.000600102299861154,0.00190032394956032,"post.PCV7"
"39","adults","Navajo.post.PCV7","NVT","34",89,1,6541,201553,6,0.0136064730845929,0.0110766343209495,0.0167150182865591,1,0.24,5.57,0.000100017049976859,0,0.000300051149930577,"post.PCV7"
"40","adults","Navajo.post.PCV7","NVT","35A",55,3,6541,201553,6,0.00840854442862852,0.00647250779060472,0.0109292929184334,3,1.09,8.77,0.000300051149930577,0,0.000900153449791731,"post.PCV7"
