study,type,carriage_samples,surveillance_population,time_interval,carriage,disease
Ontario.pre.PCV,19F,1139,580507,1,71,9
Ontario.pre.PCV,23F,1139,580507,1,94,9
Ontario.pre.PCV,6A,1139,580507,1,67,2
Ontario.pre.PCV,6B,1139,580507,1,108,11
Morocco.pre.PCV,19A,200,212566,1,0,10
Morocco.pre.PCV,23A,200,212566,1,5,6
Morocco.pre.PCV,23F,200,212566,1,3,11
Morocco.pre.PCV,3,200,212566,1,0,1
Morocco.pre.PCV,4,200,212566,1,1,0
Morocco.pre.PCV,6A,200,212566,1,13,34
Morocco.pre.PCV,6B,200,212566,1,10,21
Morocco.pre.PCV,8,200,212566,1,1,0
