study,type,carriage_samples,surveillance_population,time_interval,carriage,disease
Czech.pre.PCV,12F,425,478177,9,0,1
Czech.pre.PCV,14,425,478177,9,5,19
Czech.pre.PCV,15B/C,425,478177,9,17,0
Czech.pre.PCV,17F,425,478177,9,0,1
Czech.pre.PCV,18C,425,478177,9,9,9
Czech.pre.PCV,19A,425,478177,9,0,2
Czech.pre.PCV,19F,425,478177,9,10,12
Czech.pre.PCV,23A,425,478177,9,3,1
Czech.pre.PCV,23F,425,478177,9,30,13
Czech.pre.PCV,28F,425,478177,9,0,2
Czech.pre.PCV,3,425,478177,9,6,5
Czech.pre.PCV,33F,425,478177,9,0,1
Czech.pre.PCV,35F,425,478177,9,5,0
Czech.pre.PCV,37,425,478177,9,2,1
Czech.pre.PCV,38,425,478177,9,1,1
Czech.pre.PCV,4,425,478177,9,2,5
Czech.pre.PCV,40,425,478177,9,0,1
Czech.pre.PCV,5,425,478177,9,0,1
Czech.pre.PCV,6A,425,478177,9,24,8
Czech.pre.PCV,6B,425,478177,9,21,23
Czech.pre.PCV,7F,425,478177,9,1,6
Czech.pre.PCV,8,425,478177,9,1,1
Czech.pre.PCV,9N,425,478177,9,1,2
Czech.pre.PCV,9V,425,478177,9,1,9
France.post.PCV7,1,1212,838866,2,2,30
France.post.PCV7,10A,1212,838866,2,0,7
France.post.PCV7,10B,1212,838866,2,0,1
France.post.PCV7,11A,1212,838866,2,10,1
France.post.PCV7,12B,1212,838866,2,1,1
France.post.PCV7,12F,1212,838866,2,0,9
France.post.PCV7,14,1212,838866,2,0,6
France.post.PCV7,15A,1212,838866,2,13,6
France.post.PCV7,15B/C,1212,838866,2,23,17
France.post.PCV7,15F,1212,838866,2,1,0
France.post.PCV7,16F,1212,838866,2,0,1
France.post.PCV7,17F,1212,838866,2,4,4
France.post.PCV7,18A,1212,838866,2,0,1
France.post.PCV7,18C,1212,838866,2,0,2
France.post.PCV7,19A,1212,838866,2,28,128
France.post.PCV7,19F,1212,838866,2,8,10
France.post.PCV7,20,1212,838866,2,1,0
France.post.PCV7,21,1212,838866,2,11,3
France.post.PCV7,22F,1212,838866,2,3,6
France.post.PCV7,23A,1212,838866,2,8,2
